Date,Price,Open,High,Low,Vol.,Change %
Feb 05 2019,25411.52,25287.93,25427.32,25287.65,310.65,0.0068
Feb 04 2019,25239.37,25062.12,25239.91,24977.67,298.54,0.007
Feb 01 2019,25063.89,25025.31,25193.15,24982.49,372.09,0.0026
Jan 31 2019,24999.67,24954.48,25049.62,24842.09,507.35,-0.0006
Jan 30 2019,25014.86,24826.52,25109.62,24790.9,397.33,0.0177
Jan 29 2019,24579.96,24519.62,24674.87,24504.04,330.87,0.0021
Jan 28 2019,24528.22,24596.98,24596.98,24323.94,347.17,-0.0084
Jan 25 2019,24737.2,24687.21,24860.15,24676.75,376.89,0.0075
Jan 24 2019,24553.24,24579.96,24626.3,24422.73,320.17,-0.0009
Jan 23 2019,24575.62,24577.25,24700.98,24307.17,318.60,0.007
Jan 22 2019,24404.48,24607.76,24607.76,24244.31,338.48,-0.0122
Jan 18 2019,24706.35,24534.19,24750.22,24459.03,372.97,0.0138
Jan 17 2019,24370.1,24147.09,24474.46,24088.9,288.59,0.0067
Jan 16 2019,24207.16,24139.91,24288.61,24119.72,302.83,0.0059
Jan 15 2019,24065.59,23914.11,24099.14,23887.93,291.57,0.0065
Jan 14 2019,23909.84,23880.53,23964.9,23765.24,277.56,-0.0036
Jan 11 2019,23995.95,23940.01,23996.32,23798.16,262.65,-0.0002
Jan 10 2019,24001.92,23811.11,24014.78,23703.25,338.15,0.0051
Jan 09 2019,23879.12,23844.27,23985.45,23776.56,324.57,0.0039
Jan 08 2019,23787.45,23680.32,23864.65,23581.45,317.42,0.0109
Jan 07 2019,23531.35,23474.26,23687.74,23301.59,334.20,0.0042
Jan 04 2019,23433.16,22894.92,23518.64,22894.92,396.02,0.0329
Jan 03 2019,22686.22,23176.39,23176.39,22638.41,424.24,-0.0283
Jan 02 2019,23346.24,23058.61,23413.47,22928.59,321.57,0.0008
Dec 31 2018,23327.46,23153.94,23333.18,23118.3,288.83,0.0115
Dec 28 2018,23062.4,23213.61,23381.88,22981.33,336.51,-0.0033
Dec 27 2018,23138.82,22629.06,23138.89,22267.42,407.94,0.0114
Dec 26 2018,22878.45,21857.73,22878.92,21712.53,433.08,0.0498
Dec 24 2018,21792.2,22317.28,22339.87,21792.2,308.42,-0.0291
Dec 21 2018,22445.37,22871.74,23254.59,22396.34,900.51,-0.0181
Dec 20 2018,22859.6,23224.12,23282.2,22644.31,576.70,-0.0199
Dec 19 2018,23323.66,23693.33,24057.34,23162.64,503.55,-0.0149
Dec 18 2018,23675.64,23769.13,23927.77,23516.02,408.07,0.0035
Dec 17 2018,23592.98,23986.83,24088.08,23456.88,466.74,-0.0211
Dec 14 2018,24100.51,24408.04,24431.14,24033.79,416.94,-0.0202
Dec 13 2018,24597.38,24575.86,24740.96,24473.29,299.97,0.0029
Dec 12 2018,24527.27,24509.09,24828.29,24509.09,344.33,0.0064
Dec 11 2018,24370.24,24719.91,24791.26,24221.06,342.96,-0.0022
Dec 10 2018,24423.26,24360.95,24500.81,23881.37,389.69,0.0014
Dec 07 2018,24388.95,24918.82,25095.62,24284.78,398.23,-0.0224
