Date,predicted_mean
4/13/2016,17770.852
4/14/2016,17832.742
4/15/2016,17877.318
4/18/2016,17924.238
4/19/2016,17890.07
4/20/2016,17830.33
4/21/2016,17860.42
4/22/2016,17850.578
4/25/2016,17863.197
4/26/2016,17770.402
4/27/2016,17696.973
4/28/2016,17682.568
4/29/2016,17639.94
5/2/2016,17550.588
5/3/2016,17535.709
5/4/2016,17527.516
5/5/2016,17587.02
5/6/2016,17681.938
5/9/2016,17636.666
5/10/2016,17576.93
5/11/2016,17487.744
5/12/2016,17475.22
5/13/2016,17459.021
5/16/2016,17367.232
5/17/2016,17346.938
5/18/2016,17361.564
5/19/2016,17384.055
5/20/2016,17519.123
5/23/2016,17638.367
5/24/2016,17688.242
5/25/2016,17679.297
5/26/2016,17673.457
5/27/2016,17663.95
5/31/2016,17625.13
6/1/2016,17667.004
6/2/2016,17737.908
6/3/2016,17775.232
6/6/2016,17805.521
6/7/2016,17788.562
6/8/2016,17737.973
6/9/2016,17651.205
6/10/2016,17571.996
6/13/2016,17530.043
6/14/2016,17523.426
6/15/2016,17602.477
6/16/2016,17695.756
6/17/2016,17696.98
6/20/2016,17699.646
6/21/2016,17715.021
6/22/2016,17487
6/23/2016,17222.65
6/24/2016,17238.262
6/27/2016,17458.295
6/28/2016,17684.535
6/29/2016,17774.22
6/30/2016,17710.342
7/1/2016,17726.926
7/5/2016,17779.992
7/6/2016,17928.688
7/7/2016,18054.836
7/8/2016,18151.014
7/11/2016,18229.107
7/12/2016,18300.057
7/13/2016,18355.592
7/14/2016,18377.195
7/15/2016,18404.863
7/18/2016,18431.531
7/19/2016,18400.893
7/20/2016,18371.654
7/21/2016,18355.354
7/22/2016,18332.61
7/25/2016,18324.46
7/26/2016,18303.018
7/27/2016,18295.482
7/28/2016,18256.65
7/29/2016,18193.486
8/1/2016,18199.455
8/2/2016,18223.64
8/3/2016,18311.133
8/4/2016,18375.424
8/5/2016,18362.021
8/8/2016,18361.53
8/9/2016,18402.174
8/10/2016,18437.094
8/11/2016,18455.506
8/12/2016,18426.367
8/15/2016,18390.686
8/16/2016,18391.576
8/17/2016,18391.389
8/18/2016,18390.182
8/19/2016,18384.617
8/22/2016,18342.709
8/23/2016,18324.838
8/24/2016,18292.701
8/25/2016,18307.707
8/26/2016,18289.787
8/29/2016,18255.479
8/30/2016,18271.807
8/31/2016,18309.22
9/1/2016,18348.85
9/2/2016,18359.982
9/6/2016,18262.977
9/7/2016,18107.975
9/8/2016,18056.146
9/9/2016,18012.707
9/12/2016,17939.531
9/13/2016,17980.82
9/14/2016,18053.07
9/15/2016,18059.709
9/16/2016,18017.516
9/19/2016,18105.281
9/20/2016,18189
9/21/2016,18144.389
9/22/2016,18021.002
9/23/2016,18039.346
9/26/2016,18090.771
9/27/2016,18099.918
9/28/2016,18104.096
9/29/2016,18117.17
9/30/2016,18074.39
10/3/2016,18082.775
10/4/2016,18076.057
10/5/2016,18128.762
10/6/2016,18129.459
10/7/2016,18072.865
10/10/2016,17973.945
10/11/2016,17974.818
10/12/2016,17986.96
10/13/2016,18002.469
10/14/2016,18019.834
10/17/2016,18020.25
10/18/2016,18009.514
10/19/2016,18035.686
10/20/2016,18059.8
10/21/2016,18048.389
10/24/2016,18035.135
10/25/2016,18016.611
10/26/2016,18023.355
10/27/2016,18003.887
10/28/2016,17941.705
10/31/2016,17865.053
11/1/2016,17790.26
11/2/2016,17829.652
11/3/2016,17959.117
11/4/2016,18144.072
11/7/2016,18352.922
11/8/2016,18588.18
11/9/2016,18687.555
11/10/2016,18690.188
11/11/2016,18736.92
11/14/2016,18721.242
11/15/2016,18723.006
11/16/2016,18740.51
11/17/2016,18774.549
11/18/2016,18850.129
11/21/2016,18918.57
11/22/2016,18958.344
11/23/2016,18939.664
11/25/2016,18966.78
11/28/2016,19000.566
11/29/2016,19048.22
11/30/2016,19019.666
12/1/2016,19074.752
12/2/2016,19198.49
12/5/2016,19348.418
12/6/2016,19536.818
12/7/2016,19635.967
12/8/2016,19730.66
12/9/2016,19804.152
12/12/2016,19840.127
12/13/2016,19810.006
12/14/2016,19866.924
12/15/2016,19930.25
12/16/2016,19874.047
12/19/2016,19872.783
12/20/2016,19859.018
12/21/2016,19853.79
12/22/2016,19803.203
12/23/2016,19776.684
12/27/2016,19712.6
12/28/2016,19702.059
12/29/2016,19783.973
12/30/2016,19853.938
1/3/2017,19818.992
1/4/2017,19844.791
1/5/2017,19834.799
1/6/2017,19816.264
1/9/2017,19828.879
1/10/2017,19852.695
1/11/2017,19799.936
1/12/2017,19763.023
1/13/2017,19739.832
1/17/2017,19700.521
1/18/2017,19731.883
1/19/2017,19786.01
1/20/2017,19847.928
1/23/2017,19965.195
1/24/2017,20055.178
1/25/2017,20014.63
1/26/2017,19916.604
1/27/2017,19838.672
1/30/2017,19863.41
1/31/2017,19898.047
2/1/2017,19947.746
2/2/2017,20008.213
2/3/2017,19997.072
2/6/2017,20000.307
2/7/2017,20068.633
2/8/2017,20191.74
2/9/2017,20289.32
2/10/2017,20399.129
2/13/2017,20506.7
2/14/2017,20546.273
2/15/2017,20577.912
2/16/2017,20646.617
2/17/2017,20696.55
2/21/2017,20714.209
2/22/2017,20735.68
2/23/2017,20738.146
2/24/2017,20792.74
2/27/2017,20976.666
2/28/2017,21039.83
3/1/2017,20952.076
3/2/2017,20881.643
3/3/2017,20851.594
3/6/2017,20815.56
3/7/2017,20789.602
3/8/2017,20811.477
3/9/2017,20803.295
3/10/2017,20775.543
3/13/2017,20816.244
3/14/2017,20859.291
3/15/2017,20909.29
3/16/2017,20901.791
3/17/2017,20686.547
3/20/2017,20643.549
3/21/2017,20586.686
3/22/2017,20522.959
3/23/2017,20498.615
3/24/2017,20529.816
3/27/2017,20587.55
3/28/2017,20585.873
3/29/2017,20576.023
3/30/2017,20599.744
3/31/2017,20599.064
4/3/2017,20596.195
4/4/2017,20620.676
4/5/2017,20574.838
4/6/2017,20550.793
4/7/2017,20523.13
4/10/2017,20504.326
4/11/2017,20449.22
4/12/2017,20456.979
4/13/2017,20425.271
4/17/2017,20413.701
4/18/2017,20435.523
4/19/2017,20554.736
4/20/2017,20738.389
4/21/2017,20895.266
4/24/2017,20955.004
4/25/2017,20924.715
4/26/2017,20886.857
4/27/2017,20881.998
4/28/2017,20864.125
5/1/2017,20877.703
5/2/2017,20866.072
5/3/2017,20886.643
5/4/2017,20900.52
5/5/2017,20887.387
5/8/2017,20873.19
5/9/2017,20835.781
5/10/2017,20841.47
5/11/2017,20881.56
5/12/2017,20832.8
5/15/2017,20703.268
5/16/2017,20662.879
5/17/2017,20763.031
5/18/2017,20817.79
5/19/2017,20831.969
5/22/2017,20929.086
5/23/2017,20983.455
5/24/2017,20966.031
5/25/2017,20920.912
5/26/2017,20958.234
5/30/2017,21041.389
5/31/2017,21092.014
6/1/2017,21116.193
6/2/2017,21079.56
6/5/2017,21086.4
6/6/2017,21132.293
6/7/2017,21175.852
6/8/2017,21243.346
6/9/2017,21308.2
6/12/2017,21283.205
6/13/2017,21246.31
6/14/2017,21362.75
6/15/2017,21502.527
6/16/2017,21407.867
6/19/2017,21357.016
6/20/2017,21325.12
6/21/2017,21351.098
6/22/2017,21353.92
6/23/2017,21290.71
6/26/2017,21323.213
6/27/2017,21283.611
6/28/2017,21328.861
6/29/2017,21360.795
6/30/2017,21333.588
7/3/2017,21307.854
7/5/2017,21297.043
7/6/2017,21325.152
7/7/2017,21327.508
7/10/2017,21425.412
7/11/2017,21473.963
7/12/2017,21484.475
7/13/2017,21517.459
7/14/2017,21488.594
7/17/2017,21513.508
7/18/2017,21499.037
7/19/2017,21516.195
7/20/2017,21518.87
7/21/2017,21549.012
7/24/2017,21619.533
7/25/2017,21714.4
7/26/2017,21796.652
7/27/2017,21811.83
7/28/2017,21906.08
7/31/2017,21950.004
8/1/2017,21950.96
8/2/2017,21975.92
8/3/2017,21998.178
8/4/2017,21975.041
8/7/2017,21916.5
8/8/2017,21877.908
8/9/2017,21820.266
8/10/2017,21854.088
8/11/2017,21916.047
8/14/2017,21883.318
8/15/2017,21750.031
8/16/2017,21680.508
8/17/2017,21660.297
8/18/2017,21680.252
8/21/2017,21727.496
8/22/2017,21706.744
8/23/2017,21727.9
8/24/2017,21673.312
8/25/2017,21717.223
8/28/2017,21752.764
8/29/2017,21851.24
8/30/2017,21882.684
8/31/2017,21777.465
9/1/2017,21765.117
9/5/2017,21764.09
9/6/2017,21786.307
9/7/2017,21894.445
9/8/2017,22040.54
9/11/2017,22104.854
9/12/2017,22058.273
9/13/2017,22214.86
9/14/2017,22325.658
9/15/2017,22260.34
9/18/2017,22322.08
9/19/2017,22331.793
9/20/2017,22250.22
9/21/2017,22251.895
9/22/2017,22231.336
9/25/2017,22248.389
9/26/2017,22283.29
9/27/2017,22303.152
9/28/2017,22416.89
9/29/2017,22483.158
10/2/2017,22539.627
10/3/2017,22627.164
10/4/2017,22608.846
10/5/2017,22654.94
10/6/2017,22723.389
10/9/2017,22787.166
10/10/2017,22796.572
10/11/2017,22768.72
10/12/2017,22820.844
10/13/2017,22934.377
10/16/2017,22983.033
10/17/2017,23059.637
10/18/2017,23214.36
10/19/2017,23325.902
10/20/2017,23353.291
10/23/2017,23328.764
10/24/2017,23285.137
10/25/2017,23352.465
10/26/2017,23375.703
10/27/2017,23363.26
10/30/2017,23393.248
10/31/2017,23420.473
11/1/2017,23444.268
11/2/2017,23461.076
11/3/2017,23483.648
11/6/2017,23427.264
11/7/2017,23379.477
11/8/2017,23287.975
11/9/2017,23345.033
11/10/2017,23373.4
